what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523609356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1328523609365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523614512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523667480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523684398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523690049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523691801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523727880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523744880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523746296
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328523748153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523767622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523790667
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1328523790677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523792522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523828347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328523833762
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1328524010984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524011369
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524011765
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524011865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524017418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524033292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524035514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524047565
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328524057442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524071122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524071196
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328524079484
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524079699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524079816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524090198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524109697
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524111847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328524113127
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328524124747
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524124949
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524125059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328524129328
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328524162459
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1328524186749
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328524199785
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328524227576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328524229298
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328524256092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524262331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524275834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524276482
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1328524314275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524806316
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1328524806338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524819114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328524884356
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1328524884416
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1328524885896
